output: Running command: ./bitcoin --p2p 0.0.0.0:6042 --api 0.0.0.0:7149 -c 3.96.129.74:6042 -c 16.170.11.208:6042 -c 15.157.129.37:6042 -c 52.64.36.99:6042 -c 13.211.68.104:6042 -c 54.229.102.39:6042 --shardId 0 --nodeId 6 --experNumber 0 --shardNum 5 --shardSize 10 --blockSize 2048 --k 6 --eDiff 0000000fffffffffffffffffffffffffffffffffffffffffffffffffffffffff --iDiff 0000000fffffffffffffffffffffffffffffffffffffffffffffffffffffffff
err: [2023-12-30T06:56:39Z INFO  bitcoin] configuration: Configuration { difficulty: 0000..ffff, thredshold: 0000..ffff, block_size: 2048, k: 6, initial_balance: 1000, initial_utxo_num: 3, user_size: 3, num_tx_recv: 3, shard_id: 0, node_id: 6, max_shard_num: 256, shard_num: 5, shard_size: 10, tx_merkle_proof_len: 1, network_delay: 0, exper_number: 0 }
[2023-12-30T09:34:23Z INFO  bitcoin::manifoldchain::blockchain] block get verified
[2023-12-30T09:34:23Z INFO  bitcoin::manifoldchain::miner] re-package the block
[2023-12-30T09:34:23Z INFO  bitcoin::manifoldchain::blockchain] block get verified
[2023-12-30T09:34:23Z INFO  bitcoin::manifoldchain::blockchain] block get verified
[2023-12-30T09:34:23Z INFO  bitcoin::manifoldchain::blockchain] block get verified
[2023-12-30T09:34:23Z INFO  bitcoin::manifoldchain::blockchain] block get verified
[2023-12-30T09:36:54Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-30T09:36:54Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-30T09:36:54Z INFO  bitcoin::manifoldchain::network::worker] Coming inclusive blocks
[2023-12-30T09:36:54Z INFO  bitcoin::manifoldchain::network::worker] Comming block 0000..7eef in shard 0
[2023-12-30T09:36:54Z INFO  bitcoin::manifoldchain::network::worker] Handling block 0000..7eef in shard 0
[2023-12-30T09:36:54Z INFO  bitcoin::manifoldchain::network::worker] successfully inserting block: 0000..7eef
[2023-12-30T09:36:54Z INFO  bitcoin::manifoldchain::miner] re-package the block
[2023-12-30T09:36:54Z INFO  bitcoin::manifoldchain::network::worker] successfully inserting block: 0000..7eef
[2023-12-30T09:36:54Z INFO  bitcoin::manifoldchain::network::worker] successfully inserting block: 0000..7eef
[2023-12-30T09:36:54Z INFO  bitcoin::manifoldchain::network::worker] successfully inserting block: 0000..7eef
[2023-12-30T09:36:54Z INFO  bitcoin::manifoldchain::network::worker] successfully inserting block: 0000..7eef
[2023-12-30T09:36:54Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-30T09:36:55Z INFO  bitcoin::manifoldchain::network::worker] Coming inclusive blocks
[2023-12-30T09:36:55Z INFO  bitcoin::manifoldchain::network::worker] Comming block 0000..7eef in shard 0
[2023-12-30T09:36:55Z INFO  bitcoin::manifoldchain::network::worker] Handling block 0000..7eef in shard 0
[2023-12-30T09:36:55Z INFO  bitcoin::manifoldchain::network::worker] Reject block 0000..7eef in shard 0: insertion fails: Block already exits
[2023-12-30T09:36:55Z INFO  bitcoin::manifoldchain::network::worker] Reject block 0000..7eef in shard 0: insertion fails: Block already exits
[2023-12-30T09:36:55Z INFO  bitcoin::manifoldchain::network::worker] Reject block 0000..7eef in shard 0: insertion fails: Block already exits
[2023-12-30T09:36:55Z INFO  bitcoin::manifoldchain::network::worker] Reject block 0000..7eef in shard 0: insertion fails: Block already exits
[2023-12-30T09:36:55Z INFO  bitcoin::manifoldchain::network::worker] Reject block 0000..7eef in shard 0: insertion fails: Block already exits
[2023-12-30T09:36:55Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-30T09:36:55Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-30T09:36:55Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-30T09:36:55Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-30T09:36:55Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-30T09:36:55Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-30T09:36:55Z INFO  bitcoin::manifoldchain::network::worker] Get inclusive blocks
[2023-12-30T09:36:55Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-30T09:36:55Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-30T09:36:55Z INFO  bitcoin::manifoldchain::network::worker] Get inclusive blocks
[2023-12-30T09:36:55Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-30T09:36:55Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-30T09:36:55Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-30T09:36:55Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-30T09:36:55Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-30T09:36:55Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-30T09:36:55Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-30T09:36:55Z INFO  bitcoin::manifoldchain::blockchain] block get verified
[2023-12-30T09:36:55Z INFO  bitcoin::manifoldchain::blockchain] block get verified
[2023-12-30T09:36:55Z INFO  bitcoin::manifoldchain::blockchain] block get verified
[2023-12-30T09:36:55Z INFO  bitcoin::manifoldchain::blockchain] block get verified
[2023-12-30T09:36:55Z INFO  bitcoin::manifoldchain::blockchain] block get verified
[2023-12-30T09:36:55Z INFO  bitcoin::manifoldchain::miner] re-package the block
[2023-12-30T09:37:39Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-30T09:37:39Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-30T09:37:39Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-30T09:37:39Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-30T09:37:39Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-30T09:37:39Z INFO  bitcoin::manifoldchain::network::worker] Coming inclusive blocks
[2023-12-30T09:37:39Z INFO  bitcoin::manifoldchain::network::worker] Comming block 0000..5464 in shard 0
[2023-12-30T09:37:39Z INFO  bitcoin::manifoldchain::network::worker] Handling block 0000..5464 in shard 0
[2023-12-30T09:37:39Z INFO  bitcoin::manifoldchain::network::worker] Coming inclusive blocks
[2023-12-30T09:37:39Z INFO  bitcoin::manifoldchain::network::worker] Comming block 0000..5464 in shard 0
[2023-12-30T09:37:39Z INFO  bitcoin::manifoldchain::network::worker] Handling block 0000..5464 in shard 0
[2023-12-30T09:37:39Z INFO  bitcoin::manifoldchain::network::worker] Coming inclusive blocks
[2023-12-30T09:37:39Z INFO  bitcoin::manifoldchain::network::worker] Comming block 0000..5464 in shard 0
[2023-12-30T09:37:39Z INFO  bitcoin::manifoldchain::network::worker] Handling block 0000..5464 in shard 0
[2023-12-30T09:37:39Z INFO  bitcoin::manifoldchain::network::worker] successfully inserting block: 0000..5464
[2023-12-30T09:37:39Z INFO  bitcoin::manifoldchain::network::worker] Reject block 0000..5464 in shard 0: insertion fails: Block already exits
[2023-12-30T09:37:39Z INFO  bitcoin::manifoldchain::network::worker] Reject block 0000..5464 in shard 0: insertion fails: Block already exits
[2023-12-30T09:37:39Z INFO  bitcoin::manifoldchain::network::worker] successfully inserting block: 0000..5464
[2023-12-30T09:37:39Z INFO  bitcoin::manifoldchain::network::worker] Coming inclusive blocks
[2023-12-30T09:37:39Z INFO  bitcoin::manifoldchain::network::worker] Comming block 0000..5464 in shard 0
[2023-12-30T09:37:39Z INFO  bitcoin::manifoldchain::miner] re-package the block
[2023-12-30T09:37:39Z INFO  bitcoin::manifoldchain::network::worker] Handling block 0000..5464 in shard 0
[2023-12-30T09:37:39Z INFO  bitcoin::manifoldchain::network::worker] successfully inserting block: 0000..5464
[2023-12-30T09:37:39Z INFO  bitcoin::manifoldchain::network::worker] Reject block 0000..5464 in shard 0: insertion fails: Block already exits
[2023-12-30T09:37:39Z INFO  bitcoin::manifoldchain::network::worker] Reject block 0000..5464 in shard 0: insertion fails: Block already exits
[2023-12-30T09:37:39Z INFO  bitcoin::manifoldchain::network::worker] Reject block 0000..5464 in shard 0: insertion fails: Block already exits
[2023-12-30T09:37:39Z INFO  bitcoin::manifoldchain::network::worker] successfully inserting block: 0000..5464
[2023-12-30T09:37:39Z INFO  bitcoin::manifoldchain::network::worker] Reject block 0000..5464 in shard 0: insertion fails: Block already exits
[2023-12-30T09:37:39Z INFO  bitcoin::manifoldchain::network::worker] successfully inserting block: 0000..5464
[2023-12-30T09:37:39Z INFO  bitcoin::manifoldchain::network::worker] Reject block 0000..5464 in shard 0: insertion fails: Block already exits
[2023-12-30T09:37:39Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-30T09:37:39Z INFO  bitcoin::manifoldchain::network::worker] Reject block 0000..5464 in shard 0: insertion fails: Block already exits
[2023-12-30T09:37:39Z INFO  bitcoin::manifoldchain::network::worker] Reject block 0000..5464 in shard 0: insertion fails: Block already exits
[2023-12-30T09:37:39Z INFO  bitcoin::manifoldchain::network::worker] Reject block 0000..5464 in shard 0: insertion fails: Block already exits
[2023-12-30T09:37:39Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-30T09:37:39Z INFO  bitcoin::manifoldchain::network::worker] Reject block 0000..5464 in shard 0: insertion fails: Block already exits
[2023-12-30T09:37:39Z INFO  bitcoin::manifoldchain::network::worker] Reject block 0000..5464 in shard 0: insertion fails: Block already exits
[2023-12-30T09:37:39Z INFO  bitcoin::manifoldchain::network::worker] Reject block 0000..5464 in shard 0: insertion fails: Block already exits
[2023-12-30T09:37:39Z INFO  bitcoin::manifoldchain::network::worker] Reject block 0000..5464 in shard 0: insertion fails: Block already exits
[2023-12-30T09:37:39Z INFO  bitcoin::manifoldchain::network::worker] Reject block 0000..5464 in shard 0: insertion fails: Block already exits
[2023-12-30T09:37:39Z INFO  bitcoin::manifoldchain::network::worker] Coming inclusive blocks
[2023-12-30T09:37:39Z INFO  bitcoin::manifoldchain::network::worker] Comming block 0000..5464 in shard 0
[2023-12-30T09:37:39Z INFO  bitcoin::manifoldchain::network::worker] Handling block 0000..5464 in shard 0
[2023-12-30T09:37:39Z INFO  bitcoin::manifoldchain::network::worker] Reject block 0000..5464 in shard 0: insertion fails: Block already exits
[2023-12-30T09:37:39Z INFO  bitcoin::manifoldchain::network::worker] Reject block 0000..5464 in shard 0: insertion fails: Block already exits
[2023-12-30T09:37:39Z INFO  bitcoin::manifoldchain::network::worker] Reject block 0000..5464 in shard 0: insertion fails: Block already exits
[2023-12-30T09:37:39Z INFO  bitcoin::manifoldchain::network::worker] Reject block 0000..5464 in shard 0: insertion fails: Block already exits
[2023-12-30T09:37:39Z INFO  bitcoin::manifoldchain::network::worker] Reject block 0000..5464 in shard 0: insertion fails: Block already exits
[2023-12-30T09:37:39Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-30T09:37:39Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-30T09:37:39Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-30T09:37:39Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-30T09:37:39Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-30T09:37:39Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-30T09:37:39Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-30T09:37:39Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-30T09:37:40Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-30T09:37:40Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-30T09:37:40Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-30T09:37:40Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-30T09:37:40Z INFO  bitcoin::manifoldchain::miner] re-package the block
[2023-12-30T09:37:42Z INFO  bitcoin::manifoldchain::blockchain] block get verified
[2023-12-30T09:37:42Z INFO  bitcoin::manifoldchain::blockchain] block get verified
[2023-12-30T09:37:42Z INFO  bitcoin::manifoldchain::blockchain] block get verified
[2023-12-30T09:37:42Z INFO  bitcoin::manifoldchain::blockchain] block get verified
[2023-12-30T09:37:42Z INFO  bitcoin::manifoldchain::blockchain] block get verified
[2023-12-30T09:37:42Z INFO  bitcoin::manifoldchain::miner] re-package the block
[2023-12-30T09:38:27Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-30T09:38:27Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-30T09:38:27Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-30T09:38:27Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-30T09:38:27Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-30T09:38:27Z INFO  bitcoin::manifoldchain::network::worker] Coming inclusive blocks
[2023-12-30T09:38:27Z INFO  bitcoin::manifoldchain::network::worker] Comming block 0000..176f in shard 0
[2023-12-30T09:38:27Z INFO  bitcoin::manifoldchain::network::worker] Handling block 0000..176f in shard 0
[2023-12-30T09:38:28Z INFO  bitcoin::manifoldchain::network::worker] Coming inclusive blocks
[2023-12-30T09:38:28Z INFO  bitcoin::manifoldchain::network::worker] Comming block 0000..176f in shard 0
[2023-12-30T09:38:28Z INFO  bitcoin::manifoldchain::network::worker] Handling block 0000..176f in shard 0
[2023-12-30T09:38:28Z INFO  bitcoin::manifoldchain::network::worker] successfully inserting block: 0000..176f
[2023-12-30T09:38:28Z INFO  bitcoin::manifoldchain::network::worker] Reject block 0000..176f in shard 0: insertion fails: Block already exits
[2023-12-30T09:38:28Z INFO  bitcoin::manifoldchain::network::worker] successfully inserting block: 0000..176f
[2023-12-30T09:38:28Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-30T09:38:28Z INFO  bitcoin::manifoldchain::network::worker] Reject block 0000..176f in shard 0: insertion fails: Block already exits
[2023-12-30T09:38:28Z INFO  bitcoin::manifoldchain::network::worker] successfully inserting block: 0000..176f
[2023-12-30T09:38:28Z INFO  bitcoin::manifoldchain::network::worker] Reject block 0000..176f in shard 0: insertion fails: Block already exits
[2023-12-30T09:38:28Z INFO  bitcoin::manifoldchain::network::worker] successfully inserting block: 0000..176f
[2023-12-30T09:38:28Z INFO  bitcoin::manifoldchain::network::worker] Reject block 0000..176f in shard 0: insertion fails: Block already exits
[2023-12-30T09:38:28Z INFO  bitcoin::manifoldchain::network::worker] successfully inserting block: 0000..176f
[2023-12-30T09:38:28Z INFO  bitcoin::manifoldchain::network::worker] Reject block 0000..176f in shard 0: insertion fails: Block already exits
[2023-12-30T09:38:28Z INFO  bitcoin::manifoldchain::miner] re-package the block
[2023-12-30T09:38:28Z INFO  bitcoin::manifoldchain::network::worker] Get inclusive blocks
[2023-12-30T09:38:28Z INFO  bitcoin::manifoldchain::network::worker] Coming inclusive blocks
[2023-12-30T09:38:28Z INFO  bitcoin::manifoldchain::network::worker] Comming block 0000..176f in shard 0
[2023-12-30T09:38:28Z INFO  bitcoin::manifoldchain::network::worker] Handling block 0000..176f in shard 0
[2023-12-30T09:38:28Z INFO  bitcoin::manifoldchain::network::worker] Reject block 0000..176f in shard 0: insertion fails: Block already exits
[2023-12-30T09:38:28Z INFO  bitcoin::manifoldchain::network::worker] Reject block 0000..176f in shard 0: insertion fails: Block already exits
[2023-12-30T09:38:28Z INFO  bitcoin::manifoldchain::network::worker] Reject block 0000..176f in shard 0: insertion fails: Block already exits
[2023-12-30T09:38:28Z INFO  bitcoin::manifoldchain::network::worker] Reject block 0000..176f in shard 0: insertion fails: Block already exits
[2023-12-30T09:38:28Z INFO  bitcoin::manifoldchain::network::worker] Reject block 0000..176f in shard 0: insertion fails: Block already exits
[2023-12-30T09:38:28Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-30T09:38:28Z INFO  bitcoin::manifoldchain::network::worker] Coming inclusive blocks
[2023-12-30T09:38:28Z INFO  bitcoin::manifoldchain::network::worker] Comming block 0000..176f in shard 0
[2023-12-30T09:38:28Z INFO  bitcoin::manifoldchain::network::worker] Handling block 0000..176f in shard 0
[2023-12-30T09:38:28Z INFO  bitcoin::manifoldchain::network::worker] Reject block 0000..176f in shard 0: insertion fails: Block already exits
[2023-12-30T09:38:28Z INFO  bitcoin::manifoldchain::network::worker] Reject block 0000..176f in shard 0: insertion fails: Block already exits
[2023-12-30T09:38:28Z INFO  bitcoin::manifoldchain::network::worker] Reject block 0000..176f in shard 0: insertion fails: Block already exits
[2023-12-30T09:38:28Z INFO  bitcoin::manifoldchain::network::worker] Reject block 0000..176f in shard 0: insertion fails: Block already exits
[2023-12-30T09:38:28Z INFO  bitcoin::manifoldchain::network::worker] Reject block 0000..176f in shard 0: insertion fails: Block already exits
[2023-12-30T09:38:28Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-30T09:38:28Z INFO  bitcoin::manifoldchain::network::worker] Coming inclusive blocks
[2023-12-30T09:38:28Z INFO  bitcoin::manifoldchain::network::worker] Comming block 0000..176f in shard 0
[2023-12-30T09:38:28Z INFO  bitcoin::manifoldchain::network::worker] Handling block 0000..176f in shard 0
[2023-12-30T09:38:28Z INFO  bitcoin::manifoldchain::network::worker] Reject block 0000..176f in shard 0: insertion fails: Block already exits
