output: Running command: ./bitcoin --p2p 0.0.0.0:6042 --api 0.0.0.0:7149 -c 15.206.65.186:6042 -c 13.201.153.227:6042 -c 13.200.171.223:6042 -c 13.200.56.250:6042 -c 34.235.25.14:6042 -c 3.9.255.151:6042 -c 54.233.134.56:6042 -c 54.150.242.75:6042 --shardId 4 --nodeId 44 --experNumber 0 --shardNum 5 --shardSize 10 --blockSize 2048 --k 6 --eDiff 0000007fffffffffffffffffffffffffffffffffffffffffffffffffffffffff --iDiff 0000007fffffffffffffffffffffffffffffffffffffffffffffffffffffffff
err: [2023-12-29T10:06:05Z INFO  bitcoin] configuration: Configuration { difficulty: 0000..ffff, thredshold: 0000..ffff, block_size: 2048, k: 6, initial_balance: 1000, initial_utxo_num: 3, user_size: 3, num_tx_recv: 3, shard_id: 4, node_id: 44, max_shard_num: 256, shard_num: 5, shard_size: 10, tx_merkle_proof_len: 1, network_delay: 0, exper_number: 0 }
[2023-12-29T11:40:43Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T11:40:43Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T11:40:43Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T11:40:43Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T11:40:43Z INFO  bitcoin::manifoldchain::network::worker] Get inclusive blocks
[2023-12-29T11:40:43Z INFO  bitcoin::manifoldchain::network::worker] Get inclusive blocks
[2023-12-29T11:40:43Z INFO  bitcoin::manifoldchain::network::worker] Get inclusive blocks
[2023-12-29T11:40:43Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T11:40:43Z INFO  bitcoin::manifoldchain::network::worker] Get inclusive blocks
[2023-12-29T11:40:43Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T11:40:43Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T11:40:43Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T11:40:44Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T11:40:44Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T11:40:44Z INFO  bitcoin::manifoldchain::network::worker] Coming inclusive full blocks
[2023-12-29T11:40:44Z INFO  bitcoin::manifoldchain::network::worker] Comming block 0000..1157 in shard 4
[2023-12-29T11:40:44Z INFO  bitcoin::manifoldchain::network::worker] Handling block 0000..1157 in shard 4
[2023-12-29T11:40:44Z INFO  bitcoin::manifoldchain::network::worker] Coming inclusive blocks
[2023-12-29T11:40:44Z INFO  bitcoin::manifoldchain::network::worker] Comming block 0000..7748 in shard 4
[2023-12-29T11:40:44Z INFO  bitcoin::manifoldchain::network::worker] Handling block 0000..7748 in shard 4
[2023-12-29T11:40:44Z INFO  bitcoin::manifoldchain::network::worker] successfully inserting block: 0000..7748
[2023-12-29T11:40:44Z INFO  bitcoin::manifoldchain::network::worker] successfully inserting block: 0000..7748
[2023-12-29T11:40:44Z INFO  bitcoin::manifoldchain::network::worker] successfully inserting block: 0000..7748
[2023-12-29T11:40:44Z INFO  bitcoin::manifoldchain::network::worker] successfully inserting block: 0000..7748
[2023-12-29T11:40:44Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T11:40:44Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T11:40:44Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T11:40:45Z INFO  bitcoin::manifoldchain::network::worker] Get inclusive blocks
[2023-12-29T11:40:45Z INFO  bitcoin::manifoldchain::network::worker] Get inclusive blocks
[2023-12-29T11:40:45Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T11:40:45Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T11:40:45Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T11:40:45Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T11:40:45Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T11:40:45Z INFO  bitcoin::manifoldchain::network::worker] Get inclusive blocks
[2023-12-29T11:40:45Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T11:40:45Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T11:40:45Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T11:40:46Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T11:40:46Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T11:40:46Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T11:40:46Z INFO  bitcoin::manifoldchain::network::worker] Get inclusive blocks
[2023-12-29T11:40:46Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T11:40:46Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T11:40:46Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T11:40:46Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T11:40:46Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T11:40:46Z INFO  bitcoin::manifoldchain::network::worker] Coming inclusive blocks
[2023-12-29T11:40:46Z INFO  bitcoin::manifoldchain::network::worker] Comming block 0000..87ad in shard 4
[2023-12-29T11:40:46Z INFO  bitcoin::manifoldchain::network::worker] Coming inclusive blocks
[2023-12-29T11:40:46Z INFO  bitcoin::manifoldchain::network::worker] Comming block 0000..87ad in shard 4
[2023-12-29T11:40:46Z INFO  bitcoin::manifoldchain::network::worker] Handling block 0000..87ad in shard 4
[2023-12-29T11:40:46Z INFO  bitcoin::manifoldchain::network::worker] Handling block 0000..87ad in shard 4
[2023-12-29T11:40:46Z INFO  bitcoin::manifoldchain::network::worker] successfully inserting block: 0000..87ad
[2023-12-29T11:40:46Z INFO  bitcoin::manifoldchain::network::worker] successfully inserting block: 0000..87ad
[2023-12-29T11:40:46Z INFO  bitcoin::manifoldchain::network::worker] Reject block 0000..87ad in shard 4: insertion fails: Block already exits
[2023-12-29T11:40:46Z INFO  bitcoin::manifoldchain::network::worker] Reject block 0000..87ad in shard 4: insertion fails: Block already exits
[2023-12-29T11:40:46Z INFO  bitcoin::manifoldchain::network::worker] successfully inserting block: 0000..87ad
[2023-12-29T11:40:46Z INFO  bitcoin::manifoldchain::network::worker] successfully inserting block: 0000..87ad
[2023-12-29T11:40:46Z INFO  bitcoin::manifoldchain::network::worker] Reject block 0000..87ad in shard 4: insertion fails: Block already exits
[2023-12-29T11:40:46Z INFO  bitcoin::manifoldchain::network::worker] Reject block 0000..87ad in shard 4: insertion fails: Block already exits
[2023-12-29T11:40:46Z INFO  bitcoin::manifoldchain::network::worker] Reject block 0000..87ad in shard 4: insertion fails: Block already exits
[2023-12-29T11:40:46Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T11:40:46Z INFO  bitcoin::manifoldchain::network::worker] successfully inserting block: 0000..87ad
[2023-12-29T11:40:47Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T11:40:47Z INFO  bitcoin::manifoldchain::network::worker] Coming inclusive full blocks
[2023-12-29T11:40:47Z INFO  bitcoin::manifoldchain::network::worker] Comming block 0000..7748 in shard 4
[2023-12-29T11:40:47Z INFO  bitcoin::manifoldchain::network::worker] Handling block 0000..7748 in shard 4
[2023-12-29T11:40:47Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T11:40:47Z INFO  bitcoin::manifoldchain::network::worker] Coming inclusive blocks
[2023-12-29T11:40:47Z INFO  bitcoin::manifoldchain::network::worker] Comming block 0000..87ad in shard 4
[2023-12-29T11:40:47Z INFO  bitcoin::manifoldchain::network::worker] Handling block 0000..87ad in shard 4
[2023-12-29T11:40:47Z INFO  bitcoin::manifoldchain::network::worker] Reject block 0000..87ad in shard 4: insertion fails: Block already exits
[2023-12-29T11:40:47Z INFO  bitcoin::manifoldchain::network::worker] Reject block 0000..87ad in shard 4: insertion fails: Block already exits
[2023-12-29T11:40:47Z INFO  bitcoin::manifoldchain::network::worker] Reject block 0000..87ad in shard 4: insertion fails: Block already exits
[2023-12-29T11:40:47Z INFO  bitcoin::manifoldchain::network::worker] Reject block 0000..87ad in shard 4: insertion fails: Block already exits
[2023-12-29T11:40:47Z INFO  bitcoin::manifoldchain::network::worker] Coming inclusive blocks
[2023-12-29T11:40:47Z INFO  bitcoin::manifoldchain::network::worker] Comming block 0000..87ad in shard 4
[2023-12-29T11:40:47Z INFO  bitcoin::manifoldchain::network::worker] Handling block 0000..87ad in shard 4
[2023-12-29T11:40:47Z INFO  bitcoin::manifoldchain::network::worker] Reject block 0000..87ad in shard 4: insertion fails: Block already exits
[2023-12-29T11:40:47Z INFO  bitcoin::manifoldchain::network::worker] Reject block 0000..87ad in shard 4: insertion fails: Block already exits
[2023-12-29T11:40:47Z INFO  bitcoin::manifoldchain::network::worker] Reject block 0000..87ad in shard 4: insertion fails: Block already exits
[2023-12-29T11:40:47Z INFO  bitcoin::manifoldchain::network::worker] Reject block 0000..87ad in shard 4: insertion fails: Block already exits
[2023-12-29T11:40:48Z INFO  bitcoin::manifoldchain::network::worker] Reject block 0000..87ad in shard 4: insertion fails: Block already exits
[2023-12-29T11:40:48Z INFO  bitcoin::manifoldchain::network::worker] Reject block 0000..87ad in shard 4: insertion fails: Block already exits
[2023-12-29T11:40:48Z INFO  bitcoin::manifoldchain::network::worker] Get inclusive blocks
[2023-12-29T11:40:48Z INFO  bitcoin::manifoldchain::network::worker] Get inclusive blocks
[2023-12-29T11:40:48Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T11:40:48Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T11:40:48Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T11:40:48Z INFO  bitcoin::manifoldchain::network::worker] Get inclusive blocks
[2023-12-29T11:40:48Z INFO  bitcoin::manifoldchain::network::worker] Get inclusive blocks
[2023-12-29T11:40:48Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T11:40:48Z INFO  bitcoin::manifoldchain::network::worker] Get inclusive blocks
[2023-12-29T11:40:48Z INFO  bitcoin::manifoldchain::network::worker] New inclusive full block hash
[2023-12-29T11:40:50Z INFO  bitcoin::manifoldchain::network::worker] successfully inserting block: 0000..1157
[2023-12-29T11:40:50Z INFO  bitcoin::manifoldchain::network::worker] Get inclusive blocks
[2023-12-29T11:40:50Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T11:40:50Z INFO  bitcoin::manifoldchain::network::worker] New inclusive full block hash
[2023-12-29T11:40:50Z INFO  bitcoin::manifoldchain::network::worker] New inclusive full block hash
[2023-12-29T11:40:50Z INFO  bitcoin::manifoldchain::network::worker] New inclusive full block hash
[2023-12-29T11:40:51Z INFO  bitcoin::manifoldchain::network::worker] successfully inserting block: 0000..7748
[2023-12-29T11:40:51Z INFO  bitcoin::manifoldchain::network::worker] New inclusive full block hash
[2023-12-29T11:40:51Z INFO  bitcoin::manifoldchain::network::worker] New inclusive full block hash
[2023-12-29T11:40:51Z INFO  bitcoin::manifoldchain::network::worker] Get inclusive blocks
[2023-12-29T11:40:51Z INFO  bitcoin::manifoldchain::network::worker] New inclusive full block hash
[2023-12-29T11:40:51Z INFO  bitcoin::manifoldchain::miner] re-package the block
[2023-12-29T11:40:51Z INFO  bitcoin::manifoldchain::network::worker] New inclusive full block hash
[2023-12-29T11:40:51Z INFO  bitcoin::manifoldchain::network::worker] New inclusive full block hash
[2023-12-29T11:40:51Z INFO  bitcoin::manifoldchain::network::worker] New inclusive full block hash
[2023-12-29T11:40:51Z INFO  bitcoin::manifoldchain::network::worker] New inclusive full block hash
[2023-12-29T11:40:51Z INFO  bitcoin::manifoldchain::network::worker] Get inclusive blocks
[2023-12-29T11:40:51Z INFO  bitcoin::manifoldchain::network::worker] New inclusive full block hash
[2023-12-29T11:40:51Z INFO  bitcoin::manifoldchain::network::worker] Get inclusive blocks
[2023-12-29T11:40:51Z INFO  bitcoin::manifoldchain::blockchain] block get verified
[2023-12-29T11:40:51Z INFO  bitcoin::manifoldchain::blockchain] block get verified
[2023-12-29T11:40:51Z INFO  bitcoin::manifoldchain::blockchain] block get verified
[2023-12-29T11:40:51Z INFO  bitcoin::manifoldchain::blockchain] block get verified
[2023-12-29T11:40:53Z INFO  bitcoin::manifoldchain::blockchain] block get verified
[2023-12-29T11:40:53Z INFO  bitcoin::manifoldchain::network::worker] Get inclusive blocks
[2023-12-29T11:40:53Z INFO  bitcoin::manifoldchain::network::worker] New inclusive full block hash
[2023-12-29T11:40:53Z INFO  bitcoin::manifoldchain::network::worker] New inclusive full block hash
[2023-12-29T11:40:53Z INFO  bitcoin::manifoldchain::network::worker] New inclusive full block hash
[2023-12-29T11:40:54Z INFO  bitcoin::manifoldchain::network::worker] New inclusive full block hash
[2023-12-29T11:40:54Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T11:40:54Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T11:41:15Z INFO  bitcoin::manifoldchain::network::worker] Coming inclusive blocks
[2023-12-29T11:41:15Z INFO  bitcoin::manifoldchain::network::worker] Comming block 0000..70da in shard 4
[2023-12-29T11:41:15Z INFO  bitcoin::manifoldchain::network::worker] Handling block 0000..70da in shard 4
[2023-12-29T11:41:15Z INFO  bitcoin::manifoldchain::network::worker] successfully inserting block: 0000..70da
[2023-12-29T11:41:15Z INFO  bitcoin::manifoldchain::miner] re-package the block
[2023-12-29T11:41:15Z INFO  bitcoin::manifoldchain::network::worker] successfully inserting block: 0000..70da
[2023-12-29T11:41:15Z INFO  bitcoin::manifoldchain::network::worker] successfully inserting block: 0000..70da
[2023-12-29T11:41:15Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T11:41:15Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T11:41:15Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T11:41:15Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T11:41:15Z INFO  bitcoin::manifoldchain::network::worker] successfully inserting block: 0000..70da
[2023-12-29T11:41:15Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T11:41:15Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T11:41:15Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T11:41:15Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T11:41:15Z INFO  bitcoin::manifoldchain::network::worker] Get inclusive blocks
[2023-12-29T11:41:15Z INFO  bitcoin::manifoldchain::network::worker] Get inclusive blocks
[2023-12-29T11:41:15Z INFO  bitcoin::manifoldchain::network::worker] Get inclusive blocks
[2023-12-29T11:41:15Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T11:41:16Z INFO  bitcoin::manifoldchain::network::worker] Get inclusive blocks
[2023-12-29T11:41:16Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T11:41:16Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T11:41:16Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T11:41:16Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
[2023-12-29T11:41:17Z INFO  bitcoin::manifoldchain::network::worker] Coming inclusive full blocks
[2023-12-29T11:41:17Z INFO  bitcoin::manifoldchain::network::worker] Comming block 0000..70da in shard 4
[2023-12-29T11:41:17Z INFO  bitcoin::manifoldchain::network::worker] Handling block 0000..70da in shard 4
[2023-12-29T11:41:19Z INFO  bitcoin::manifoldchain::miner] re-package the block
[2023-12-29T11:41:21Z INFO  bitcoin::manifoldchain::network::worker] New inclusive full block hash
[2023-12-29T11:41:21Z INFO  bitcoin::manifoldchain::network::worker] New inclusive full block hash
[2023-12-29T11:41:22Z INFO  bitcoin::manifoldchain::network::worker] successfully inserting block: 0000..70da
[2023-12-29T11:41:22Z INFO  bitcoin::manifoldchain::network::worker] New inclusive full block hash
[2023-12-29T11:41:22Z INFO  bitcoin::manifoldchain::network::worker] New inclusive full block hash
[2023-12-29T11:41:22Z INFO  bitcoin::manifoldchain::network::worker] New inclusive full block hash
[2023-12-29T11:41:22Z INFO  bitcoin::manifoldchain::network::worker] New inclusive full block hash
[2023-12-29T11:41:22Z INFO  bitcoin::manifoldchain::miner] re-package the block
[2023-12-29T11:41:23Z INFO  bitcoin::manifoldchain::network::worker] New inclusive full block hash
[2023-12-29T11:41:23Z INFO  bitcoin::manifoldchain::network::worker] New inclusive full block hash
[2023-12-29T11:42:01Z INFO  bitcoin::manifoldchain::network::worker] Coming inclusive blocks
[2023-12-29T11:42:01Z INFO  bitcoin::manifoldchain::network::worker] Comming block 0000..751f in shard 4
[2023-12-29T11:42:01Z INFO  bitcoin::manifoldchain::network::worker] Handling block 0000..751f in shard 4
[2023-12-29T11:42:01Z INFO  bitcoin::manifoldchain::network::worker] successfully inserting block: 0000..751f
[2023-12-29T11:42:01Z INFO  bitcoin::manifoldchain::miner] re-package the block
[2023-12-29T11:42:01Z INFO  bitcoin::manifoldchain::network::worker] successfully inserting block: 0000..751f
[2023-12-29T11:42:01Z INFO  bitcoin::manifoldchain::network::worker] successfully inserting block: 0000..751f
[2023-12-29T11:42:01Z INFO  bitcoin::manifoldchain::network::worker] successfully inserting block: 0000..751f
[2023-12-29T11:42:01Z INFO  bitcoin::manifoldchain::network::worker] New inclusive block hash
